iabCat,masculinity,interest,IgName,IgLevel1,IgLevel2,PinkMin,PinkAvg,PinkMax
Automotive,4628.0,6003257785488,BMW,empty,Business and industry,-1.800303207121057,35.503803906323974,35.44032886894484
Automotive,4627.0,6003353550130,Motorcycles,empty,Hobbies and activities,6.835736013538266,12.201726815185564,10.955058728233645
Automotive,4626.0,6003304550260,Automotive industry,empty,Hobbies and activities,2.637359225243503,16.512252956638527,10.671039855866184
Automotive,4625.0,6003293721530,Mercedes-Benz,empty,Business and industry,-0.34227723555534706,29.064857555883997,27.573904190728832
Arts & Entertainment,4624.0,6003157909075,Cars (film),empty,News and entertainment,1.033771524678426,12.66704526705118,13.382086335257021
Automotive,4623.0,6004048615096,Luxury vehicle,empty,Hobbies and activities,4.441914350236486,8.527275812035779,9.264051729478638
Sports,4622.0,6003146718552,Auto racing,empty,Sports and outdoors,0.7174170391186392,20.415611506444073,19.957453293003077
Automotive,4621.0,6003092882217,Trucks,empty,Hobbies and activities,5.541122542622859,12.91389362573769,12.366139267241653
Automotive,4620.0,6003397432935,Audi,empty,Business and industry,-14.782965594622958,8.97887404466901,3.7028994949637273
Sports,4619.0,6003450241842,Motorsport,empty,Sports and outdoors,-3.7860649045242774,31.4851156112585,33.475211267009676
Automotive,4618.0,6003111957392,Engine,empty,Hobbies and activities,715.9988844167484,47.347945641779894,61.63669258008386
Technology & Computing,4617.0,6003289911338,Smartphones,empty,Technology,2.2961060232565127,22.025439862682337,20.66768160255983
Shopping,4616.0,6003481743064,Toyota,empty,Business and industry,4.118835739506139,23.13498570831532,26.216816275816416
Automotive,4616.0,6003481743064,Toyota,empty,Business and industry,4.118835739506139,23.13498570831532,26.216816275816416
Automotive,4615.0,6003304473660,SUVs,empty,Business and industry,10.018175596674112,4.319024699585946,7.31261319538467
Sports,4614.0,6002985584323,Outdoor recreation,empty,Sports and outdoors,-2.0594500838006295,12.183784088820957,11.761481112496522
Technology & Computing,4613.0,6003325186571,Cameras,empty,Technology,0.6230765392915081,14.131700067605799,12.959636059097422
Sports,4612.0,6002995710444,UEFA Champions League,empty,"Travel, places and events",-0.11080988780923795,-6.317618754685175,-3.267060763770414
Sports,4611.0,6003840055852,Sports car,empty,Hobbies and activities,-7.565962011538833,-5.867413051945002,-0.9957998831805908
Sports,4610.0,6003107902433,Association football (Soccer),empty,Sports and outdoors,-1.0469632083838611,12.433800397828115,11.964420392656857
Technology & Computing,4609.0,6003423416540,Free software,empty,empty,1.6225585463205348,7.148432885193518,10.149662576715288
Sports,4608.0,6003108404190,Real Madrid C.F.,empty,Sports and outdoors,2.9011531115619267,2.01229538248867,2.5908819831756857
Sports,4607.0,6003062447007,Lionel Messi,empty,People,7.4300783684377585,34.823772800945534,29.888048994365256
Technology & Computing,4606.0,6003215957745,Application software,empty,Technology,3.621302632571664,26.47703636001511,28.05709658359586
Automotive,4605.0,6003488503154,Motor vehicle,empty,Hobbies and activities,-16.325138710267392,-17.371269813645895,-12.985834256678935
Sports,4604.0,6003110325672,Cristiano Ronaldo,empty,People,4.584073201343153,-0.8018301013274888,-1.3069268794955002
Automotive,4603.0,6003500299025,Wheel,empty,Hobbies and activities,-19.09216316599378,-4.63809999436053,-4.670449536994637
Technology & Computing,4602.0,6003198788367,Bluetooth,empty,Technology,0.7226676392840164,0.022776557266166227,1.152768636302303
Sports,4601.0,6003142844668,Martial arts,empty,Sports and outdoors,-5.726286752339467,9.403800776727632,15.082597198534696
Arts & Entertainment,4600.0,6003943667466,Game consoles,empty,Technology,3.307370426726505,6.153971655412407,6.415664127151049
Automotive,4599.0,6003174972414,Internal combustion engine,empty,Education,5.805661477780753,1.3553165518295598,2.290814958121815
Technology & Computing,4598.0,6003573036687,Electronics,empty,Technology,1.0590414022865455,10.941590117461542,13.005873947199667
Automotive,4597.0,6003602594303,Nissan,empty,Business and industry,-1.1313813030611457,8.151837861642951,14.85504663006287
