interest,Business and industry,Education,Family and relationships,Fitness and wellness,Food and drink,Hobbies and activities,Lifestyle and culture,News and entertainment,People,Shopping and fashion,Sports and outdoors,Technology,"Travel, places and events",No category
Hurt (band),,,,,,1,2,3,,,,,,
Sneakers Addict,2,,,3,,,,,,1,,,,
"San Pablo, California",,,,,,3,2,,,,,,1,
Mania,,,,,,,,,,,,,,1
Waikato,,,,,,3,2,,,,,,1,
"Serasa, Brunei-Muara",,,,,,3,2,,,,,,1,
Risk management,1,3,,,,,,,,,,2,,
Conjunto Atardecer,,,,,,2,1,,3,,,,,
OfficeMax,2,,,,,3,,,,,,1,,
Free Tibet,,,,,,2,,1,,,,,3,
Draft horse,,,,3,,1,,,,,2,,,
Economic development,1,3,,,,,,2,,,,,,
Jam band,,,,,,2,1,,3,,,,,
Atlanta Hawks,,,,,,2,3,,,,1,,,
Cork (material),1,,,,,,2,,,,,,3,
Henrik Larsson,,,,3,,,,,1,,2,,,
The Phoenix (newspaper),2,,,,,,3,1,,,,,,
Auguste Rodin,,3,,,,,2,,1,,,,,
Street Fighter,2,,,,,1,,,,,,3,,
Moody Blues,,,,,,2,1,,3,,,,,
Little Brother (group),,,,,,2,1,,3,,,,,
Oxygen (TV channel),2,,,,,3,,1,,,,,,
Teleprogreso Mi canal,2,,,,,3,,1,,,,,,
RER,3,,,,,,2,,,,,,1,
Lurpak,,,,,1,,2,,,3,,,,
Tata Sky,2,,,,,3,,1,,,,,,
Experimental film,,,,,,3,2,1,,,,,,
Kung Fu (TV series),,,,,,3,2,1,,,,,,
"Malibu, California",,,,,,3,,,,,2,,1,
The Sword in the Stone (film),,,,,,2,3,1,,,,,,
Marine Le Pen,2,3,,,,,,,1,,,,,
Electric motor,3,,,,,,2,,,,,1,,
Object (philosophy),,,,,,,,,,,,,,1
Docking station,,,,,,3,,,2,,,1,,
Speech balloon,,,,,,2,3,1,,,,,,
Paracel Islands,,,,,,3,,,,,2,,1,
Semiconductor fabrication plant,2,,,,,,3,,,,,1,,
Ooty,,,,,,3,2,,,,,,1,
French rock,3,,,,,2,1,,,,,,,
Jabatan Kemajuan Islam Malaysia (Jakim),2,,,,,,1,,,,,,3,
Professional sports,2,,,,,3,,1,,,,,,
Martha Stewart,3,,,,,,2,,1,,,,,
Fast & Furious (2009 film),,,,,,2,3,1,,,,,,
Laksa,,,,,1,3,2,,,,,,,
Jeff Hardy,3,,,,,,,,1,,2,,,
B.o.B Presents: The Adventures of Bobby Ray,3,,,,,2,1,,,,,,,
Columba,,2,,,,,1,,,,3,,,
miss led,1,,,,,,,,3,2,,,,
Dow Chemical Company,1,,,,,,3,,,,,2,,
Tomb Raider III,,,,,,2,3,1,,,,,,
Lisa Frank,2,,,,,,3,,1,,,,,
Mannie Fresh,3,,,,,,2,,,,,,,
Kotex,1,3,,,,,,,,2,,,,
Status quo,,,,,,,1,,,2,,3,,
95.5 Virgin Hitz,,,,,,3,2,1,,,,,,
Lions Clubs International,1,3,,,,,2,,,,,,,
Berg,1,,,,,2,,,,,,3,,
Smart Communications,2,3,,,,,3,2,1,,,1,,
Katniss Everdeen,,,,,,,,,,,,,,
Grandmaster (martial arts),,2,,,,3,,,,,1,,,
Amr Moussa,,3,,,,,2,,1,,,,,
1961 NBA Finals,2,,,,,,3,,,,1,,,
Provinces of the Philippines,,3,,,,,2,,,,,,1,
C-Heads Magazine,2,,,,,,3,1,,,,,,
Elle (India),2,,,,,,3,1,,,,,,
Takchita,3,,,,,,2,,,1,,,,
Parador,3,,,,,,2,,,,,,1,
Pisa,,,,,3,,2,,,,,,1,
Baju Kurung,2,,,,,,3,,,1,,,,
Hyundai Accent,1,,,,,2,,,,,,3,,
VTB United League,2,,,,,3,,,,,1,,,
Rugged Maniac 5K Obstacle Race,3,,,,,2,,,,,1,,,
Rhône (department),,,,,,3,2,,,,,,1,
VnExpress,2,,,,,,3,1,,,,,,
Visual kei,,,,,,3,2,1,,,,,,
Leather jacket,,,,,,3,2,,,1,,,,
ProFM Romania,2,,,,,3,,1,,,,,,
Christian ministry,2,,,,,3,1,,,,,,,
BFM TV,2,,,,,3,,1,,,,,,
Flan,,,,,1,,2,,,,,,3,
Minnie Mouse,3,,,,,,2,1,,,,,,
Slamball,,,,3,,2,,,,,1,,,
Cheta,,,,,,,,,,,,,,1
TAM Airlines,2,,,,,3,,,,,,,1,
Madonna (Madonna album),,,,,,3,,1,2,,,,,
Piston,,,,,,2,3,,,,,1,,
Gospel music,3,,,,,2,1,,,,,,,
Chaitanya Mahaprabhu,,2,,,,,1,,,,,,3,
Shivraj Singh Chouhan,,,,,,,2,3,1,,,,,
World view,,,,,,3,2,,,,,,1,
Human height,,,,,,,,,,,,,,1
Kandi Burruss,,,,,,,2,3,1,,,,,
Sector 3 (Bucharest),,,,,,3,2,,,,,,1,
Star-Lord,,,,,,2,3,1,,,,,,
Noah Cyrus,,,,,,,3,2,1,,,,,
