group1,group2,meandiff,p-adj,lower,upper,reject
AD,AE,33.0088,0.0,10.2687,55.7489,True
AD,AF,-12.8986,1.0,-37.2472,11.45,False
AD,AG,-0.0285,1.0,-23.7251,23.6681,False
AD,AI,18.6628,0.9223,-6.6776,44.0032,False
AD,AL,-3.4472,1.0,-102.3778,95.4835,False
AD,AM,7.6628,1.0,-15.9945,31.3201,False
AD,AO,-7.4676,1.0,-33.8751,18.9399,False
AD,AQ,-242.7832,-0.0,-280.2035,-205.363,True
AD,AR,7.4076,1.0,-15.5429,30.3581,False
AD,AS,-36.7727,0.0,-61.1453,-12.4001,True
AD,AT,9.3803,1.0,-13.2531,32.0137,False
AD,AU,18.8279,0.6647,-4.4865,42.1424,False
AD,AW,16.516,1.0,-13.2258,46.2579,False
AD,AZ,0.5554,1.0,-22.6896,23.8004,False
AD,BA,20.4934,0.3099,-2.6669,43.6536,False
AD,BB,17.7026,0.8715,-5.719,41.1243,False
AD,BD,-1.0575,1.0,-23.7119,21.5969,False
AD,BE,4.3078,1.0,-23.7079,32.3235,False
AD,BF,4.9027,1.0,-23.424,33.2293,False
AD,BG,20.0415,0.442,-3.4259,43.5089,False
AD,BH,30.109,0.0,8.1673,52.0508,True
AD,BI,-17.3286,0.932,-41.0055,6.3483,False
AD,BJ,4.6717,1.0,-18.9274,28.2709,False
AD,BL,-2.8873,1.0,-37.292,31.5174,False
AD,BM,23.3649,0.08,-0.6208,47.3505,False
AD,BN,-1.9239,1.0,-25.3913,21.5436,False
AD,BO,5.8912,1.0,-17.0283,28.8107,False
AD,BQ,37.7884,-0.0,19.4052,56.1717,True
AD,BR,-6.7702,1.0,-30.0066,16.4662,False
AD,BS,27.5055,1.0,-30.2339,85.2449,False
AD,BT,-35.8342,1.0,-117.9743,46.3058,False
AD,BW,-28.0063,1.0,-95.3619,39.3493,False
AD,BY,-14.6405,0.9993,-37.7676,8.4865,False
AD,BZ,-9.4901,1.0,-32.7524,13.7721,False
AD,CA,6.3999,1.0,-16.7354,29.5352,False
AD,CD,-8.9271,1.0,-71.1814,53.3273,False
AD,CF,-36.3355,0.0,-62.0309,-10.6401,True
AD,CG,3.432,1.0,-20.3145,27.1784,False
AD,CH,9.2515,1.0,-29.6069,48.1099,False
AD,CI,16.4023,0.9662,-6.6837,39.4883,False
AD,CK,-35.1766,0.0,-60.7231,-9.6301,True
AD,CL,5.8443,1.0,-25.9465,37.6352,False
AD,CM,-8.1411,1.0,-76.3442,60.0619,False
AD,CN,4.5929,1.0,-18.9776,28.1634,False
AD,CO,-5.3402,1.0,-28.1911,17.5107,False
AD,CR,-5.9785,1.0,-68.2328,56.2759,False
AD,CV,-8.3112,1.0,-77.3975,60.7751,False
AD,CW,8.7123,1.0,-15.3717,32.7963,False
AD,CY,9.8721,1.0,-12.7266,32.4708,False
AD,CZ,26.0768,1.0,-65.3679,117.5215,False
AD,DE,6.3558,1.0,-16.915,29.6267,False
AD,DJ,11.9391,1.0,-12.3269,36.2051,False
AD,DK,-2.566,1.0,-25.7683,20.6363,False
AD,DM,-4.2263,1.0,-28.9651,20.5126,False
AD,DO,-11.5021,1.0,-34.4839,11.4798,False
AD,DZ,-6.9584,1.0,-30.2641,16.3473,False
AD,EC,11.189,1.0,-76.1493,98.5273,False
AD,EE,13.1411,1.0,-9.6136,35.8957,False
AD,EG,10.6053,1.0,-61.3724,82.5829,False
AD,ER,-29.0203,0.0506,-58.0604,0.0197,False
AD,ES,4.3389,1.0,-15.2607,23.9385,False
AD,ET,3.6589,1.0,-20.3592,27.677,False
AD,FI,-7.5344,1.0,-40.9209,25.8521,False
